LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
ESP,TOT,USD,A,2009,41750.91106
ESP,TOT,USD,A,2010,41034.3406
ESP,TOT,USD,A,2011,40452.8193
ESP,TOT,USD,A,2012,39301.60485
ESP,TOT,USD,A,2013,39391.29533
ESP,TOT,USD,A,2014,39397.76735
ESP,TOT,USD,A,2015,40087.62768
ESP,TOT,USD,A,2016,39860.34697
ESP,TOT,USD,A,2017,39073.25047
ESP,TOT,USD,A,2018,38761.18457
SWE,TOT,USD,A,1990,28576.24981
SWE,TOT,USD,A,1991,27195.81712
SWE,TOT,USD,A,1992,28045.41732
SWE,TOT,USD,A,1993,27712.83339
SWE,TOT,USD,A,1994,28396.98566
SWE,TOT,USD,A,1995,28450.20127
SWE,TOT,USD,A,1996,30117.16308
SWE,TOT,USD,A,1997,31329.72061
SWE,TOT,USD,A,1998,32319.00243
SWE,TOT,USD,A,1999,32992.62074
SWE,TOT,USD,A,2000,33964.42133
SWE,TOT,USD,A,2001,34287.2197
SWE,TOT,USD,A,2002,34808.21921
SWE,TOT,USD,A,2003,35240.4934
SWE,TOT,USD,A,2004,36310.77872
SWE,TOT,USD,A,2005,37018.85227
SWE,TOT,USD,A,2006,37913.35899
SWE,TOT,USD,A,2007,39137.0877
SWE,TOT,USD,A,2008,39678.83031
SWE,TOT,USD,A,2009,39938.31212
SWE,TOT,USD,A,2010,40175.42479
SWE,TOT,USD,A,2011,40680.56341
SWE,TOT,USD,A,2012,41581.03568
SWE,TOT,USD,A,2013,42015.76064
SWE,TOT,USD,A,2014,42444.08578
SWE,TOT,USD,A,2015,43159.39234
SWE,TOT,USD,A,2016,43735.72742
SWE,TOT,USD,A,2017,43987.49039
SWE,TOT,USD,A,2018,44196.23945
CHE,TOT,USD,A,1990,50707.40789
CHE,TOT,USD,A,1991,51605.26154
CHE,TOT,USD,A,1992,52069.25645
CHE,TOT,USD,A,1993,52598.73722
CHE,TOT,USD,A,1994,53262.82168
CHE,TOT,USD,A,1995,53414.40024
CHE,TOT,USD,A,1996,53880.50053
CHE,TOT,USD,A,1997,54633.60358
CHE,TOT,USD,A,1998,54687.01766
CHE,TOT,USD,A,1999,55522.48231
CHE,TOT,USD,A,2000,55854.0656
CHE,TOT,USD,A,2001,57936.20704
CHE,TOT,USD,A,2002,58837.58851
CHE,TOT,USD,A,2003,58689.68562
CHE,TOT,USD,A,2004,58182.12589
CHE,TOT,USD,A,2005,59064.00909
CHE,TOT,USD,A,2006,59430.94084
CHE,TOT,USD,A,2007,60304.40854
CHE,TOT,USD,A,2008,60629.72428
CHE,TOT,USD,A,2009,61856.11395
CHE,TOT,USD,A,2010,62002.87617
CHE,TOT,USD,A,2011,62107.93486
CHE,TOT,USD,A,2012,63207.26367
CHE,TOT,USD,A,2013,64180.86239
CHE,TOT,USD,A,2014,64284.54003
CHE,TOT,USD,A,2015,64222.83942
CHE,TOT,USD,A,2016,64063.94249
CHE,TOT,USD,A,2017,63899.88385
CHE,TOT,USD,A,2018,64108.55076
GBR,TOT,USD,A,1990,31504.60613
GBR,TOT,USD,A,1991,31490.96723
GBR,TOT,USD,A,1992,32122.8642
GBR,TOT,USD,A,1993,32658.15158
GBR,TOT,USD,A,1994,33250.26001
GBR,TOT,USD,A,1995,33290.4272
GBR,TOT,USD,A,1996,33294.27362
GBR,TOT,USD,A,1997,34247.96325
GBR,TOT,USD,A,1998,35857.1181
GBR,TOT,USD,A,1999,37181.28906
GBR,TOT,USD,A,2000,38908.20716
GBR,TOT,USD,A,2001,40839.51886
GBR,TOT,USD,A,2002,41517.1388
GBR,TOT,USD,A,2003,42651.94341
GBR,TOT,USD,A,2004,43662.67821
GBR,TOT,USD,A,2005,43597.24277
GBR,TOT,USD,A,2006,44590.06774
GBR,TOT,USD,A,2007,45881.92792
GBR,TOT,USD,A,2008,44679.45286
GBR,TOT,USD,A,2009,45455.23091
GBR,TOT,USD,A,2010,45526.55342
GBR,TOT,USD,A,2011,44375.68743
GBR,TOT,USD,A,2012,44006.8491
GBR,TOT,USD,A,2013,44141.38003
GBR,TOT,USD,A,2014,43782.31312
GBR,TOT,USD,A,2015,44125.73619
GBR,TOT,USD,A,2016,44465.81826
GBR,TOT,USD,A,2017,44589.7799
GBR,TOT,USD,A,2018,44770.04974
USA,TOT,USD,A,1990,45736.14587
USA,TOT,USD,A,1991,46046.56835
USA,TOT,USD,A,1992,47113.69779
USA,TOT,USD,A,1993,46843.15589
USA,TOT,USD,A,1994,46663.02617
USA,TOT,USD,A,1995,46934.65713
USA,TOT,USD,A,1996,47614.65675
USA,TOT,USD,A,1997,48796.86933
USA,TOT,USD,A,1998,50805.13643
USA,TOT,USD,A,1999,52135.40386
USA,TOT,USD,A,2000,53903.82146
USA,TOT,USD,A,2001,54359.72283
USA,TOT,USD,A,2002,54787.71284
USA,TOT,USD,A,2003,55459.67986
USA,TOT,USD,A,2004,56489.58598
USA,TOT,USD,A,2005,56556.66698
USA,TOT,USD,A,2006,57453.98395
USA,TOT,USD,A,2007,58597.29317
USA,TOT,USD,A,2008,58400.86926
USA,TOT,USD,A,2009,58872.60756
USA,TOT,USD,A,2010,59476.63603
USA,TOT,USD,A,2011,59562.47469
USA,TOT,USD,A,2012,60047.20521
USA,TOT,USD,A,2013,59765.75719
USA,TOT,USD,A,2014,60617.97202
USA,TOT,USD,A,2015,62106.29523
USA,TOT,USD,A,2016,62153.12401
USA,TOT,USD,A,2017,62727.43595
USA,TOT,USD,A,2018,63093.01464
EST,TOT,USD,A,1995,9376.990258
EST,TOT,USD,A,1996,9748.399141
EST,TOT,USD,A,1997,10663.93679
EST,TOT,USD,A,1998,11304.62059
EST,TOT,USD,A,1999,11736.91762
EST,TOT,USD,A,2000,12622.75554
EST,TOT,USD,A,2001,13117.57907
EST,TOT,USD,A,2002,13913.5684
EST,TOT,USD,A,2003,15170.47781
EST,TOT,USD,A,2004,16305.12278
EST,TOT,USD,A,2005,17284.88486
EST,TOT,USD,A,2006,18747.92154
EST,TOT,USD,A,2007,21771.87338
EST,TOT,USD,A,2008,22052.77515
EST,TOT,USD,A,2009,21304.52784
EST,TOT,USD,A,2010,21192.42548
EST,TOT,USD,A,2011,20320.64366
EST,TOT,USD,A,2012,21161.9214
EST,TOT,USD,A,2013,21459.59192
EST,TOT,USD,A,2014,22570.84161
EST,TOT,USD,A,2015,23436.37665
EST,TOT,USD,A,2016,24691.29576
EST,TOT,USD,A,2017,25368.05135
EST,TOT,USD,A,2018,26898.10346
ISR,TOT,USD,A,1995,30907.03605
ISR,TOT,USD,A,1996,33580.8171
ISR,TOT,USD,A,1997,34545.53572
ISR,TOT,USD,A,1998,35915.99616
ISR,TOT,USD,A,1999,36501.12822
ISR,TOT,USD,A,2000,37840.74599
ISR,TOT,USD,A,2001,38460.46394
ISR,TOT,USD,A,2002,36958.59111
ISR,TOT,USD,A,2003,35677.08693
ISR,TOT,USD,A,2004,35130.10037
ISR,TOT,USD,A,2005,35201.947
ISR,TOT,USD,A,2006,36326.00325
ISR,TOT,USD,A,2007,37025.38673
ISR,TOT,USD,A,2008,36073.73109
ISR,TOT,USD,A,2009,35294.28901
ISR,TOT,USD,A,2010,34997.43567
ISR,TOT,USD,A,2011,35274.91537
ISR,TOT,USD,A,2012,33166.65214
ISR,TOT,USD,A,2013,33428.18043
ISR,TOT,USD,A,2014,33516.04162
ISR,TOT,USD,A,2015,34481.71807
ISR,TOT,USD,A,2016,35701.37218
ISR,TOT,USD,A,2017,36678.69069
ISR,TOT,USD,A,2018,37655.30111
SVN,TOT,USD,A,1995,23337.72636
SVN,TOT,USD,A,1996,24544.07602
SVN,TOT,USD,A,1997,25880.34269
SVN,TOT,USD,A,1998,26217.56742
SVN,TOT,USD,A,1999,26697.11662
SVN,TOT,USD,A,2000,27455.11107
SVN,TOT,USD,A,2001,28565.56827
SVN,TOT,USD,A,2002,28647.24807
SVN,TOT,USD,A,2003,29246.65239
SVN,TOT,USD,A,2004,30686.58622
SVN,TOT,USD,A,2005,31855.15603
SVN,TOT,USD,A,2006,32888.12991
SVN,TOT,USD,A,2007,33606.50859
SVN,TOT,USD,A,2008,34097.16827
SVN,TOT,USD,A,2009,34435.84982
SVN,TOT,USD,A,2010,35473.81452
SVN,TOT,USD,A,2011,35340.76447
SVN,TOT,USD,A,2012,34227.66164
SVN,TOT,USD,A,2013,33748.93018
SVN,TOT,USD,A,2014,34282.48437
SVN,TOT,USD,A,2015,34933.64773
SVN,TOT,USD,A,2016,36153.4369
SVN,TOT,USD,A,2017,36883.00552
SVN,TOT,USD,A,2018,37321.90867
OECD,TOT,USD,A,1990,37549.65615
OECD,TOT,USD,A,1991,37870.70606
OECD,TOT,USD,A,1992,38692.37797
OECD,TOT,USD,A,1993,38768.24362
OECD,TOT,USD,A,1994,38254.27512
OECD,TOT,USD,A,1995,37713.10084
OECD,TOT,USD,A,1996,37886.25962
OECD,TOT,USD,A,1997,38557.2863
OECD,TOT,USD,A,1998,39485.45615
OECD,TOT,USD,A,1999,40372.27288
OECD,TOT,USD,A,2000,41215.44194
OECD,TOT,USD,A,2001,41649.96911
OECD,TOT,USD,A,2002,41798.4565
OECD,TOT,USD,A,2003,42190.7439
OECD,TOT,USD,A,2004,42775.03339
OECD,TOT,USD,A,2005,43071.99781
OECD,TOT,USD,A,2006,43452.41483
OECD,TOT,USD,A,2007,44014.85084
OECD,TOT,USD,A,2008,43934.20396
OECD,TOT,USD,A,2009,44258.64979
OECD,TOT,USD,A,2010,44418.80696
OECD,TOT,USD,A,2011,44590.63856
OECD,TOT,USD,A,2012,44581.75911
OECD,TOT,USD,A,2013,44696.33801
OECD,TOT,USD,A,2014,44996.65734
OECD,TOT,USD,A,2015,45708.77322
OECD,TOT,USD,A,2016,46016.7305
OECD,TOT,USD,A,2017,46293.9444
OECD,TOT,USD,A,2018,46686.33781
ISL,TOT,USD,A,1990,36381.53851
ISL,TOT,USD,A,1991,39332.42311
ISL,TOT,USD,A,1992,37983.70389
ISL,TOT,USD,A,1993,35993.14046
ISL,TOT,USD,A,1994,36711.71198
ISL,TOT,USD,A,1995,37577.91895
ISL,TOT,USD,A,1996,38923.81676
ISL,TOT,USD,A,1997,40710.03736
ISL,TOT,USD,A,1998,45013.05849
ISL,TOT,USD,A,1999,47045.61214
ISL,TOT,USD,A,2000,48486.6511
ISL,TOT,USD,A,2001,48201.87788
ISL,TOT,USD,A,2002,49586.08749
ISL,TOT,USD,A,2003,48307.49701
ISL,TOT,USD,A,2004,51577.52043
ISL,TOT,USD,A,2005,55607.2683
ISL,TOT,USD,A,2006,58094.69957
ISL,TOT,USD,A,2007,59636.16342
ISL,TOT,USD,A,2008,52850.92815
ISL,TOT,USD,A,2009,44701.05963
ISL,TOT,USD,A,2010,45951.92989
ISL,TOT,USD,A,2011,48156.17722
ISL,TOT,USD,A,2012,48049.69794
ISL,TOT,USD,A,2013,48858.15059
ISL,TOT,USD,A,2014,49471.50415
ISL,TOT,USD,A,2015,53261.71745
ISL,TOT,USD,A,2016,58131.14953
ISL,TOT,USD,A,2017,64415.10845
ISL,TOT,USD,A,2018,66504.28117
NZL,TOT,USD,A,1990,29942.70246
NZL,TOT,USD,A,1991,28739.13848
NZL,TOT,USD,A,1992,29991.08199
NZL,TOT,USD,A,1993,30796.09115
NZL,TOT,USD,A,1994,31370.31593
NZL,TOT,USD,A,1995,31201.77155
NZL,TOT,USD,A,1996,31738.45899
NZL,TOT,USD,A,1997,32599.97846
NZL,TOT,USD,A,1998,32105.16334
NZL,TOT,USD,A,1999,31655.04309
NZL,TOT,USD,A,2000,31805.88829
NZL,TOT,USD,A,2001,32391.38903
NZL,TOT,USD,A,2002,33005.01872
NZL,TOT,USD,A,2003,34210.66013
NZL,TOT,USD,A,2004,35419.56694
NZL,TOT,USD,A,2005,36022.33931
NZL,TOT,USD,A,2006,36253.35587
NZL,TOT,USD,A,2007,38387.93378
NZL,TOT,USD,A,2008,37964.81532
NZL,TOT,USD,A,2009,38433.34987
NZL,TOT,USD,A,2010,38802.78948
NZL,TOT,USD,A,2011,38803.58733
NZL,TOT,USD,A,2012,39621.7161
NZL,TOT,USD,A,2013,39110.6008
NZL,TOT,USD,A,2014,39419.08318
NZL,TOT,USD,A,2015,40255.73092
NZL,TOT,USD,A,2016,41765.00281
NZL,TOT,USD,A,2017,41953.58622
NZL,TOT,USD,A,2018,42324.8742
CHL,TOT,USD,A,1996,17070.14208
CHL,TOT,USD,A,1997,18268.23291
CHL,TOT,USD,A,1998,19130.44074
CHL,TOT,USD,A,1999,20347.74619
CHL,TOT,USD,A,2000,20309.97558
CHL,TOT,USD,A,2001,20951.91683
CHL,TOT,USD,A,2002,21222.44025
CHL,TOT,USD,A,2003,21972.45948
CHL,TOT,USD,A,2004,22524.87449
CHL,TOT,USD,A,2005,22351.60597
CHL,TOT,USD,A,2006,21889.12202
CHL,TOT,USD,A,2007,21967.17702
CHL,TOT,USD,A,2008,22409.14698
CHL,TOT,USD,A,2009,24037.70335
CHL,TOT,USD,A,2010,24960.82175
CHL,TOT,USD,A,2011,25106.35365
CHL,TOT,USD,A,2012,25914.9183
CHL,TOT,USD,A,2013,26583.78961
CHL,TOT,USD,A,2014,26803.54588
CHL,TOT,USD,A,2015,26759.21876
CHL,TOT,USD,A,2016,27655.34315
CHL,TOT,USD,A,2017,26766.6161
CHL,TOT,USD,A,2018,27124.71115
LVA,TOT,USD,A,1996,9265.988203
LVA,TOT,USD,A,1997,9696.221815
LVA,TOT,USD,A,1998,10003.56181
LVA,TOT,USD,A,1999,10426.38413
LVA,TOT,USD,A,2000,10987.35197
LVA,TOT,USD,A,2001,11359.35884
LVA,TOT,USD,A,2002,11003.51962
LVA,TOT,USD,A,2003,11819.29023
LVA,TOT,USD,A,2004,12795.57483
LVA,TOT,USD,A,2005,14893.40768
LVA,TOT,USD,A,2006,16439.20256
LVA,TOT,USD,A,2007,20280.41977
LVA,TOT,USD,A,2008,20949.70037
LVA,TOT,USD,A,2009,18917.12057
LVA,TOT,USD,A,2010,18174.85913
LVA,TOT,USD,A,2011,17541.35961
LVA,TOT,USD,A,2012,18272.87632
LVA,TOT,USD,A,2013,19151.96466
LVA,TOT,USD,A,2014,20429.45208
LVA,TOT,USD,A,2015,22295.31473
LVA,TOT,USD,A,2016,23591.68628
LVA,TOT,USD,A,2017,24633.97485
LVA,TOT,USD,A,2018,25586.19797
LTU,TOT,USD,A,1995,8058.508327
LTU,TOT,USD,A,1996,8968.899059
LTU,TOT,USD,A,1997,9925.880853
LTU,TOT,USD,A,1998,10839.2591
LTU,TOT,USD,A,1999,11311.499
LTU,TOT,USD,A,2000,11359.15675
LTU,TOT,USD,A,2001,12012.41154
LTU,TOT,USD,A,2002,12829.28546
LTU,TOT,USD,A,2003,14208.36001
LTU,TOT,USD,A,2004,15709.2157
LTU,TOT,USD,A,2005,17353.84188
LTU,TOT,USD,A,2006,19869.7781
LTU,TOT,USD,A,2007,21165.72425
LTU,TOT,USD,A,2008,21493.52742
LTU,TOT,USD,A,2009,18767.88658
LTU,TOT,USD,A,2010,18835.71381
LTU,TOT,USD,A,2011,19367.18179
LTU,TOT,USD,A,2012,19671.09994
LTU,TOT,USD,A,2013,20471.73064
LTU,TOT,USD,A,2014,21367.70885
LTU,TOT,USD,A,2015,22741.69964
LTU,TOT,USD,A,2016,23933.49993
LTU,TOT,USD,A,2017,25207.13875
LTU,TOT,USD,A,2018,26429.22819
